KO	Pathways	Modules
K19745	ko00640	NA
K19742	ko00330	NA
K19743	ko00310,ko00960,ko00330	NA
K05929	ko00564	NA
K05928	ko00130	M00112
K05112	ko04360	NA
K18557	ko00720	M00173
K05921	ko00350	M00533
K05113	ko04360	NA
K10352	ko04530	NA
K10353	ko00230	NA
K00698	ko00520	NA
K00699	ko00980,ko00982,ko00860,ko00140,ko00040,ko00983,ko00830,ko00053,ko05204	M00014,M00129
K05110	ko04360	NA
K00340	ko00190	M00144
K00341	ko00190	M00144
K00342	ko00190	M00144
K00343	ko00190	M00144
K00696	ko00500	NA
K00697	ko00500	NA
K00694	ko00500,ko02026	NA
K00695	ko00500	NA
K04199	ko04080,ko04916	NA
K02104	ko04320,ko04013	NA
K02105	ko05100,ko05418,ko04670,ko05412,ko05217,ko05216,ko05215,ko05213,ko04520,ko05210,ko04919,ko04916,ko05130,ko04015,ko04390,ko05224,ko04310,ko05166,ko04510,ko05205,ko04550,ko05200	M00677
K04191	ko04062,ko04060	NA
K04190	ko04062,ko04060	NA
K04193	ko04062,ko04060	NA
K04192	ko04062,ko04060	NA
K04195	ko04971,ko04080,ko04020	NA
K02106	ko02020	NA
K04197	ko04024,ko04022,ko04020,ko04080,ko04924,ko05200,ko04270	NA
K04196	ko04080	NA
K05822	ko00300	M00525
K05823	ko00300	M00525
K08500	ko04130	NA
K05821	ko00360,ko00400,ko00960,ko00350	NA
K08506	ko04130	NA
K05827	ko00300	M00031
K05824	ko00300	M00433,M00030
K08505	ko04130	NA
K20698	ko04624	NA
K05828	ko00220,ko00300	M00031,M00763
K05829	ko00220,ko00300	M00031,M00763
K20699	ko04624	NA
K00524	ko00240,ko00230	M00053
K00525	ko00240,ko00230	M00053
K00526	ko00240,ko00230	M00053
K00527	ko00240,ko00230	M00053
K00522	ko04978,ko04216	NA
K00523	ko00520	NA
K02451	NA	M00331
K00529	ko00360,ko00071	M00545
K10168	ko04620,ko05321,ko05132,ko05134,ko05130	NA
K15493	ko04728	NA
K03984	ko04610	NA
K14217	ko05160,ko05168	NA
K00025	ko04964,ko00630,ko00020,ko00620,ko00270,ko00710	M00171,M00009,M00168,M00011,M00012
K14215	ko00900	NA
K05338	ko02020	NA
K14211	ko04974	NA
K00024	ko00680,ko00720,ko00630,ko00020,ko00620,ko00270,ko00710	M00346,M00012,M00173,M00011,M00009,M00168,M00374,M00620,M00740
K02459	ko03070,ko05111	M00331
K00795	ko00900	M00364
K00026	ko00630,ko00020,ko00620,ko00270,ko00710	M00171,M00009,M00168,M00011,M00012
K00793	ko00740	M00125
K01346	ko04972,ko04974	NA
K01345	ko04972,ko04974	NA
K01344	ko04610	NA
K01343	ko04610,ko05202,ko04371,ko05418	NA
K00023	ko00630,ko00650	M00373
K00790	ko00520,ko00550	NA
K01349	ko05164	NA
K01348	ko05205,ko05206,ko04610,ko05202,ko04064	NA
K02694	ko00195	M00163
K02695	ko00195	NA
K02696	ko00195	NA
K02697	ko00195	NA
K02690	ko00195	M00163
K02691	ko00195	M00163
K02692	ko00195	M00163
K02693	ko00195	M00163
K02698	ko00195	NA
K02699	ko00195	NA
K00836	ko00260	M00033
K00835	ko00290	NA
K00832	ko00950,ko00960,ko00360,ko00401,ko00400,ko00270,ko00350	M00034,M00040,M00025,M00024
K00833	ko00780	M00577,M00123,M00573
K00830	ko00250,ko04146,ko00630,ko00680,ko00260	M00346,M00532
K00831	ko00750,ko00680,ko00260	M00124,M00020
K00838	ko00130,ko00950,ko00960,ko00360,ko00300,ko00401,ko00400,ko00270,ko00350,ko00380	M00034,M00030,M00025,M00024
K00839	ko00230	NA
K17454	ko05215,ko05224,ko05222,ko05223,ko05220,ko05212,ko04110,ko05161,ko05219,ko05218,ko04137,ko05214,ko05200,ko05206,ko05166	M00692
K06619	ko05220,ko05416,ko05130,ko05131,ko04014,ko04110,ko04360,ko04012,ko05206,ko05200,ko04722	NA
K01123	ko00600	NA
K01122	ko00565	NA
